Liste des mots et leur découpe syllabique (Lexique 4 / syllabation orale → orthographe)
==================================================

abricot	a-bri-cot
les frités	les fri-tés
nous courons	nous cou-rons
pour toi	pour toi
sûr le vélo	sûr le vé-lo
tu bois	tu bois
un loup	un loup
une pomme	une pomme
arbre	arbre
arc-en-ciel	ar-cen-ciel
blé	blé
boué	boué
branche	branche
buisson	buis-son
cactus	cac-tus
campagne	cam-pagne
cascade	cas-cade
champ	champ
chemin	che-min
chêne	chêne
ciel	ciel
colline	co-lline
désert	dé-sert
étoile	é-toile
feu	feu
feuille	feuille
fleur	fleur
forêt	fo-rêt
grotte	grotte
herbe	herbe
horizon	hor-izon
ile	ile
jardin	jar-din
lac	lac
lavande	la-vande
luné	luné
marais	mar-ais
marguerite	mar-gu-erite
mer	mer
montagne	mon-tagne
mousse	mousse
neige	neige
nuage	nuage
océan	o-cé-an
orage	o-rage
parc	parc
pierre	pierre
plage	plage
planète	planète
pluie	pluie
prairie	prai-rie
racine	ra-cine
rivière	ri-vière
rocher	rocher
rosé	ro-sé
roseau	ros-eau
route	route
sable	sable
sapin	sa-pin
soleil	so-leil
terré	te-rré
tournesol	tou-rn-esol
tulipe	tu-lipe
univers	uni-vers
vague	vague
vent	vent
vigne	vigne
volcan	vol-can
balle	balle
bosse	bosse
botté	bo-tté
brosse	brosse
caché	ca-ché
caisse	caisse
carotte	ca-rotte
chaise	chaise
chassé	cha-ssé
classe	classe
crasse	crasse
fessé	fe-ssé
fossé	fo-ssé
fraise	fraise
gomme	gomme
graisse	graisse
laisse	laisse
liasse	liasse
masse	masse
nappe	nappe
passé	pa-ssé
patte	patte
pomme	pomme
poubelle	pou-belle
presse	presse
tache	tache
tassé	ta-ssé
terré	te-rré
tresse	tresse
vache	vache
ananas	ananas
ara	a-ra
banane	banane
bavoir	ba-voir
boa	bo-a
bocal	bo-cal
bras	bras
cabane	ca-bane
cacao	ca-ca-o
café	ca-fé
caméra	ca-mé-ra
canapé	cana-pé
canard	canard
chat	chat
dinde	dinde
fac	fac
farine	fa-rine
lac	lac
lama	la-ma
lavabo	la-va-bo
macaque	ma-caque
matelas	ma-te-las
navet	na-vet
panda	panda
papa	pa-pa
parachute	pa-ra-chute
patate	pa-tate
pâté	pâ-té
pirate	pi-rate
plat	plat
puma	pu-ma
pyjama	py-ja-ma
radis	ra-dis
rat	rat
sac	sac
salade	sa-lade
sofa	so-fa
tapis	ta-pis
tâta	tâ-ta
tomate	to-mate
bebe	be-be
bec	bec
bidet	bi-det
blé	blé
boeuf	boeuf
cerf	cerf
chef	chef
clé	clé
de	de
épée	é-pée
fée	fée
fer	fer
jouè	jouè
main	main
mer	mer
né	né
neuf	neuf
nez	nez
oeuf	oeuf
pas	pas
pied	pied
pneu	pneu
pré	pré
purée	pu-rée
sel	sel
télé	té-lé
tête	tête
thé	thé
ver	ver
verre	verre
amis	a-mis
avis	a-vis
biche	biche
caniche	caniche
cri	cri
dit	dit
dodo	do-do
figue	figue
fil	fil
gris	gris
kiwi	ki-wi
lit	lit
livre	livre
maki	ma-ki
nid	nid
olive	o-live
pic	pic
pli	pli
prix	prix
rit	rit
riz	riz
sirène	si-rène
tapis	ta-pis
tic	tic
tigre	tigre
vif	vif
vis	vis
vit	vit
zébu	zé-bu
bol	bol
bout	bout
chou	chou
clou	clou
col	col
cou	cou
croc	croc
domino	do-mino
dos	dos
dynamo	dy-na-mo
flot	flot
fou	fou
gros	gros
judo	ju-do
karaté	ka-ra-té
lasso	la-sso
lot	lot
loto	lo-to
loup	loup
mot	mot
moto	mo-to
mou	mou
os	os
ours	ours
piano	piano
polo	po-lo
pot	pot
pou	pou
radio	ra-dio
robot	ro-bot
rôti	rô-ti
soda	so-da
sol	sol
sot	sot
sou	sou
trop	trop
trou	trou
vélo	vé-lo
vidéo	vi-dé-o
vol	vol
bu	bu
bulle	bulle
bus	bus
cru	cru
dru	dru
duc	duc
dur	dur
flûte	flûte
fusée	fu-sée
grue	grue
jupe	jupe
jus	jus
lu	lu
luné	luné
luté	lu-té
mule	mule
mur	mur
nué	nué
plume	plume
pu	pu
pull	pull
pur	pur
rué	rué
su	su
sucre	sucre
sûr	sûr
tortue	tor-tue
tu	tu
vu	vu
vue	vue
aéroport	a-é-ro-port
ambulance	a-mbu-lance
avion	a-vion
bateau	bat-eau
bus	bus
camion	ca-mion
car	car
fusée	fu-sée
gare	gare
hélicoptère	hél-ico-ptère
métro	mé-tro
moteur	mo-teur
moto	mo-to
péniche	pé-niche
policé	po-li-cé
pompier	po-mpier
port	port
quai	quai
rail	rail
roue	roue
sous-marin	sou-sm-arin
taxi	ta-xi
tracteur	trac-teur
train	train
tramway	tra-mway
trottinette	trot-tinette
vélo	vé-lo
voilier	voi-lier
voituré	voi-tu-ré
volant	vol-ant
attraper	a-ttra-per
balayer	ba-la-yer
boire	boire
brosser	bros-ser
chanter	chanter
chercher	cher-cher
coller	col-ler
colorier	co-lo-rier
conduire	conduire
courir	courir
crier	cri-er
cuisiner	cui-siner
danser	dan-ser
découper	dé-couper
descendre	des-cendre
dessiner	de-ss-iner
donner	don-ner
dormir	dor-mir
écouter	é-couter
écrire	é-crire
entendre	entendre
fermer	fer-mer
glisser	glis-ser
goûter	goû-ter
grimper	grim-per
habiller	habi-ller
jouer	jouer
lancer	lan-cer
laver	la-ver
lire	lire
manger	man-ger
marcher	marcher
monter	mon-ter
nager	na-ger
ouvrir	ouvrir
parler	par-ler
patiner	pa-tiner
pédaler	pé-da-ler
peigner	pei-gner
peindre	peindre
pleurer	pleu-rer
plier	pli-er
