Liste des mots et leur découpe syllabique (Lexique 4 / syllabation orale → orthographe)
==================================================

abricot	a-bri-cot
fer a repasser	fer a re-pa-sser
four	four
fourchette	four-che-tte
frigo	fri-go
garage	ga-rage
horloge	hor-lo-ge
jardin	jar-din
journal	jour-nal
lampe	lam-pe
lavabo	la-va-bo
lit	lit
lunettes	lun-ettes
machine a laver	ma-chine-a-la-ver
marteau	mart-eau
meuble	meu-ble
miroir	mi-roir
montre	mon-tre
mur	mur
ordinateur	or-di-na-teur
oreiller	o-rei-ller
outil	ou-til
parapluie	pa-ra-pluie
peigné	pei-gné
pinceau	pin-ceau
poêle	poê-le
porte	por-te
portefeuille	por-te-feui-lle
poubelle	pou-belle
radio	ra-dio
réveil	ré-veil
rideau	rid-eau
sac a dos	sac-a-dos
savon	sa-von
serrure	ser-ru-re
serviette	ser-vie-tte
shampoing	sham-poing
table	ta-ble
tapis	ta-pis
tasse	ta-sse
téléphone	té-lé-phone
télévision	té-lé-vi-sion
toit	toit
tondeuse	ton-deu-se
tournevis	tour-ne-vis
valise	va-li-se
vase	va-se
verre	verre
banque	ban-que
boucher	bou-cher
boulanger	bou-lan-ger
boulangerie	bou-lan-ge-rie
chanteur	chan-teur
cinéma	ci-né-ma
cuisinier	cui-si-nier
danseur	dan-seur
dentiste	den-tis-te
docteur	doc-teur
facteur	fac-teur
fermier	fer-mier
hôpital	hô-pi-tal
infirmier	in-fir-mier
jardinier	jar-di-nier
magasin	ma-ga-sin
mairie	mai-rie
maître	maî-tre
maîtresse	maî-tresse
marché	mar-ché
marin	ma-rin
peintre	pein-tre
pharmacie	phar-ma-cie
pilote	pi-lo-te
policier	po-li-cier
pompier	pom-pier
poste	pos-te
serveur	ser-veur
théâtre	thé-âtre
vétérinaire	vé-té-ri-nai-re
avec maman	a-vec ma-man
dans le bus	dans-le-bus
pomme de terre	po-mme-de te-rre
des bonbons	des bon-bons
du pain	du-pain
elle chante	elle chan-te
c'est un chat	c'est-un-chat
il dort	il-dort
je mange	je-man-ge
la vache	la-va-che
le chat	le chat
les frites	les-fri-tes
nous courons	nous-cou-rons
pour toi	pour-toi
sur le vélo	sur-le-vé-lo
tu bois	tu-bois
un loup	un-loup
une pomme	une-pom-me
arbre	ar-bre
arc-en-ciel	arc-en-ciel
blé	blé
boué	bou-é
branche	bran-che
buisson	bui-sson
cactus	cac-tus
campagne	cam-pagne
cascade	cas-cade
champ	champ
chemin	che-min
chêne	chê-ne
ciel	ciel
colline	co-lli-ne
désert	dé-sert
étoile	é-toile
feu	feu
feuille	feui-lle
fleur	fleur
forêt	fo-rêt
grotte	gro-tte
herbe	her-be
horizon	ho-ri-zon
ile	i-le
jardin	jar-din
lac	lac
lavande	la-van-de
lune	lu-ne
marais	mar-ais
marguerite	mar-gue-rite
mer	mer
montagne	mon-ta-gne
mousse	mou-sse
neige	nei-ge
nuage	nu-age
océan	o-cé-an
orage	o-ra-ge
parc	parc
pierre	pierre
plage	pla-ge
planète	pla-nè-te
pluie	pluie
prairie	prai-rie
racine	ra-ci-ne
rivière	ri-viè-re
rocher	ro-cher
rose	ro-se
roseau	ros-eau
route	rou-te
sable	sa-ble
sapin	sa-pin
soleil	so-leil
terré	te-rré
tournesol	tour-ne-sol
tulipe	tu-li-pe
univers	uni-vers
vague	va-gue
vent	vent
vigne	vi-gne
volcan	vol-can
balle	ba-lle
bosse	bo-sse
botté	bo-tté
brosse	bro-sse
caché	ca-ché
caisse	cai-sse
carotte	ca-ro-tte
chaise	chai-se
chassé	cha-ssé
classe	cla-sse
crasse	cra-sse
fesse	fe-sse
fossé	fo-ssé
fraise	frai-se
gomme	gom-me
graisse	grai-sse
laisse	lai-sse
liasse	lia-sse
masse	ma-sse
nappe	na-ppe
passé	pa-ssé
patte	pa-tte
pomme	pom-me
poubelle	pou-belle
presse	pre-sse
tache	ta-che
tasse	ta-sse
terre	te-rre
tresse	tre-sse
vache	va-che
ananas	a-na-nas
ara	a-ra
banane	ba-na-ne
bavoir	ba-voir
boa	bo-a
bocal	bo-cal
bras	bras
cabane	ca-ba-ne
cacao	ca-ca-o
café	ca-fé
caméra	ca-mé-ra
canapé	ca-na-pé
canard	ca-nard
chat	chat
dinde	din-de
fac	fac
farine	fa-rine
lac	lac
lama	la-ma
lavabo	la-va-bo
macaque	ma-caque
matelas	ma-te-las
navet	na-vet
panda	pan-da
papa	pa-pa
parachute	pa-ra-chute
patate	pa-tate
pâté	pâ-té
pirate	pi-ra-te
plat	plat
puma	pu-ma
pyjama	py-ja-ma
radis	ra-dis
rat	rat
sac	sac
salade	sa-la-de
sofa	so-fa
tapis	ta-pis
tata	ta-ta
tomate	to-ma-te
bébé	bé-bé
bec	bec
bidet	bi-det
blé	blé
boeuf	boeuf
cerf	cerf
chef	chef
clé	clé
de	de
épée	é-pée
fée	fée
fer	fer
joue	joue
main	main
mer	mer
né	né
neuf	neuf
nez	nez
oeuf	oeuf
pas	pas
pied	pied
pneu	pneu
pré	pré
purée	pu-rée
sel	sel
télé	té-lé
tête	tête
thé	thé
ver	ver
verre	verre
amis	a-mis
avis	a-vis
biche	bi-che
caniche	ca-ni-che
cri	cri
dit	dit
dodo	do-do
figue	fi-gue
fil	fil
gris	gris
kiwi	ki-wi
lit	lit
livre	li-vre
maki	ma-ki
nid	nid
olive	o-live
pic	pic
pli	pli
prix	prix
rit	rit
riz	riz
sirène	si-rè-ne
tapis	ta-pis
tic	tic
tigre	ti-gre
vif	vif
vis	vis
vit	vit
zébu	zé-bu
bol	bol
bout	bout
chou	chou
clou	clou
col	col
cou	cou
croc	croc
domino	do-mi-no
dos	dos
dynamo	dy-na-mo
flot	flot
fou	fou
gros	gros
judo	ju-do
karaté	ka-ra-té
lasso	la-sso
lot	lot
loto	lo-to
loup	loup
mot	mot
moto	mo-to
mou	mou
os	os
ours	ours
piano	piano
polo	po-lo
pot	pot
pou	pou
radio	ra-dio
robot	ro-bot
rôti	rô-ti
soda	so-da
sol	sol
sot	sot
sou	sou
trop	trop
trou	trou
vélo	vé-lo
vidéo	vi-dé-o
vol	vol
bu	bu
bulle	bulle
bus	bus
cru	cru
dru	dru
duc	duc
dur	dur
flûte	flû-te
fusée	fu-sée
grue	grue
jupe	jupe
jus	jus
lu	lu
lune	lu-ne
luté	lu-té
mule	mu-le
mur	mur
nué	nué
plume	plu-me
pu	pu
pull	pull
pur	pur
rue	rue
su	su
sucre	su-cre
sûr	sûr
tortue	tor-tue
tu	tu
vu	vu
vue	vue
aéroport	a-é-ro-port
ambulance	a-mbu-lance
avion	a-vion
bateau	bat-eau
bus	bus
camion	ca-mion
car	car
fusée	fu-sée
gare	gare
hélicoptère	hé-li-co-ptère
métro	mé-tro
moteur	mo-teur
moto	mo-to
péniche	pé-niche
policé	po-li-cé
pompier	po-mpier
port	port
quai	quai
rail	rail
roue	roue
sous-marin	sous-ma-rin
taxi	ta-xi
tracteur	trac-teur
train	train
tramway	tra-mway
trottinette	trot-ti-nette
vélo	vé-lo
voilier	voi-lier
voiture	voi-tu-re
volant	vol-ant
attraper	at-tra-per
balayer	ba-la-yer
boire	boi-re
brosser	bros-ser
chanter	chan-ter
chercher	cher-cher
coller	col-ler
colorier	co-lo-rier
conduire	con-dui-re
courir	cou-rir
crier	cri-er
cuisiner	cui-siner
danser	dan-ser
découper	dé-couper
descendre	des-cendre
dessiner	de-ss-iner
donner	don-ner
dormir	dor-mir
écouter	é-cou-ter
écrire	é-crire
entendre	en-ten-dre
fermer	fer-mer
glisser	glis-ser
goûter	goû-ter
grimper	grim-per
habiller	ha-bil-ler
jouer	jou-er
lancer	lan-cer
laver	la-ver
lire	li-re
manger	man-ger
marcher	mar-cher
monter	mon-ter
nager	na-ger
ouvrir	ou-vrir
parler	par-ler
patiner	pa-ti-ner
pédaler	pé-da-ler
peigner	pei-gner
peindre	pein-dre
pleurer	pleu-rer
plier	pli-er
plonger	plon-ger
porter	por-ter
pousser	pou-sser
prendre	pren-dre
regarder	re-gar-der
rire	ri-re
rouler	rou-ler
sauter	sau-ter
sentir	sen-tir
skier	skier
sourire	sou-ri-re
tenir	te-nir
tirer	ti-rer
tomber	tom-ber
toucher	tou-cher
trouver	trou-ver
voir	voir
voler	vo-ler
basket	bas-ket
bonnet	bon-net
botte	bo-tte
bouton	bou-ton
casquette	cas-que-tte
ceinture	cein-tu-re
chapeau	cha-peau
chaussette	chaus-sette
chaussure	chaus-sure
chemise	chem-ise
cravate	cra-va-te
culotte	cu-lotte
écharpe	é-cha-rpe
fermeture	fer-me-ture
gant	gant
gilet	gi-let
jupe	jupe
maillot de bain	mai-llot de bain
manteau	man-teau
pantalon	pan-ta-lon
pantoufle	pan-toufle
poche	po-che
pull	pull
pyjama	py-ja-ma
robe	ro-be
sandale	san-da-le
short	short
slip	slip
t-shirt	t-shirt
veste	ves-te

Total: 705 mots
